DMS_id,uniprot_id,pfam_id,start,end,mutation_start,mutation_end
ODPX_HUMAN_Beltran_2025_PF02817_181,O00330,PF02817,183.0,216.0,181,227
CUX2_HUMAN_Beltran_2025_PF02376_1036,O14529,PF00046,1169.0,1225.0,1036,1124
CUX2_HUMAN_Beltran_2025_PF02376_1036,O14529,PF02376,550.0,622.0,1036,1124
CUX2_HUMAN_Beltran_2025_PF02376_1036,O14529,PF02376,893.0,963.0,1036,1124
CUX2_HUMAN_Beltran_2025_PF02376_1036,O14529,PF02376,1044.0,1118.0,1036,1124
CUX2_HUMAN_Beltran_2025_PF02376_1036,O14529,PF25398,3.0,111.0,1036,1124
CUX2_HUMAN_Beltran_2025_PF02376_895,O14529,PF00046,1169.0,1225.0,895,963
CUX2_HUMAN_Beltran_2025_PF02376_895,O14529,PF02376,550.0,622.0,895,963
CUX2_HUMAN_Beltran_2025_PF02376_895,O14529,PF02376,893.0,963.0,895,963
CUX2_HUMAN_Beltran_2025_PF02376_895,O14529,PF02376,1044.0,1118.0,895,963
CUX2_HUMAN_Beltran_2025_PF02376_895,O14529,PF25398,3.0,111.0,895,963
DVL1_HUMAN_Beltran_2025_PF00595_246,O14640,PF00595,252.0,335.0,246,338
DVL1_HUMAN_Beltran_2025_PF00595_246,O14640,PF00610,428.0,497.0,246,338
DVL1_HUMAN_Beltran_2025_PF00595_246,O14640,PF00778,3.0,81.0,246,338
DVL1_HUMAN_Beltran_2025_PF00595_246,O14640,PF02377,90.0,247.0,246,338
DVL1_HUMAN_Beltran_2025_PF00595_246,O14640,PF12316,503.0,685.0,246,338
DVL1_HUMAN_Beltran_2025_PF00778_4,O14640,PF00595,252.0,335.0,4,81
DVL1_HUMAN_Beltran_2025_PF00778_4,O14640,PF00610,428.0,497.0,4,81
DVL1_HUMAN_Beltran_2025_PF00778_4,O14640,PF00778,3.0,81.0,4,81
DVL1_HUMAN_Beltran_2025_PF00778_4,O14640,PF02377,90.0,247.0,4,81
DVL1_HUMAN_Beltran_2025_PF00778_4,O14640,PF12316,503.0,685.0,4,81
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF00397,137.0,162.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF00397,434.0,460.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,662.0,709.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,727.0,776.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,794.0,843.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,898.0,949.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,956.0,1007.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF01846,1015.0,1071.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_645,O14776,PF23517,521.0,574.0,645,713
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF00397,137.0,162.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF00397,434.0,460.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,662.0,709.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,727.0,776.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,794.0,843.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,898.0,949.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,956.0,1007.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF01846,1015.0,1071.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_727,O14776,PF23517,521.0,574.0,727,776
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF00397,137.0,162.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF00397,434.0,460.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,662.0,709.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,727.0,776.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,794.0,843.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,898.0,949.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,956.0,1007.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF01846,1015.0,1071.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_793,O14776,PF23517,521.0,574.0,793,854
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF00397,137.0,162.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF00397,434.0,460.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,662.0,709.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,727.0,776.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,794.0,843.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,898.0,949.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,956.0,1007.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF01846,1015.0,1071.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_897,O14776,PF23517,521.0,574.0,897,955
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF00397,137.0,162.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF00397,434.0,460.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,662.0,709.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,727.0,776.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,794.0,843.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,898.0,949.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,956.0,1007.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF01846,1015.0,1071.0,955,1010
TCRG1_HUMAN_Beltran_2025_PF01846_955,O14776,PF23517,521.0,574.0,955,1010
PHX2A_HUMAN_Beltran_2025_PF00046_92,O14813,PF00046,91.0,147.0,92,147
KLF11_HUMAN_Beltran_2025_PF00096_395,O14901,PF00096,394.0,418.0,395,418
KLF11_HUMAN_Beltran_2025_PF00096_395,O14901,PF00096,424.0,448.0,395,418
KLF11_HUMAN_Beltran_2025_PF00096_395,O14901,PF00096,454.0,476.0,395,418
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF00069,12.0,276.0,488,569
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF00595,491.0,567.0,488,569
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF00625,738.0,911.0,488,569
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF02828,347.0,395.0,488,569
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF02828,406.0,455.0,488,569
CSKP_HUMAN_Beltran_2025_PF00595_488,O14936,PF07653,629.0,674.0,488,569
MDM4_HUMAN_Beltran_2025_PF00641_299,O15151,PF00641,300.0,329.0,299,329
MDM4_HUMAN_Beltran_2025_PF00641_299,O15151,PF13920,436.0,482.0,299,329
NPHP1_HUMAN_Beltran_2025_PF00018_152,O15259,PF00018,159.0,203.0,152,211
ATX7_HUMAN_Beltran_2025_PF08313_334,O15265,PF08313,333.0,394.0,334,394
SHOX_HUMAN_Beltran_2025_PF00046_119,O15266,PF00046,118.0,174.0,119,174
SHOX_HUMAN_Beltran_2025_PF00046_119,O15266,PF03826,271.0,288.0,119,174
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF00041,393.0,475.0,172,214
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF00622,540.0,654.0,172,214
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF00643,174.0,210.0,172,214
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF13445,10.0,57.0,172,214
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF18568,323.0,374.0,172,214
TRI18_HUMAN_Beltran_2025_PF00643_172,O15344,PF22586,118.0,160.0,172,214
P73_HUMAN_Beltran_2025_PF07647_487,O15350,PF00870,118.0,308.0,487,549
P73_HUMAN_Beltran_2025_PF07647_487,O15350,PF07647,487.0,548.0,487,549
P73_HUMAN_Beltran_2025_PF07647_487,O15350,PF07710,345.0,384.0,487,549
TOX3_HUMAN_Beltran_2025_PF00505_256,O15405,PF00505,255.0,323.0,256,323
R113A_HUMAN_Beltran_2025_PF00642_198,O15541,PF00642,197.0,222.0,198,222
R113A_HUMAN_Beltran_2025_PF00642_198,O15541,PF13920,261.0,304.0,198,222
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,295.0,316.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,322.0,344.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,350.0,372.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,378.0,400.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,407.0,428.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,434.0,456.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00096,490.0,512.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_351,O43167,PF00651,27.0,132.0,351,372
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,295.0,316.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,322.0,344.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,350.0,372.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,378.0,400.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,407.0,428.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,434.0,456.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00096,490.0,512.0,435,456
ZBT24_HUMAN_Beltran_2025_PF00096_435,O43167,PF00651,27.0,132.0,435,456
CRX_HUMAN_Beltran_2025_PF00046_41,O43186,PF00046,40.0,96.0,41,96
CRX_HUMAN_Beltran_2025_PF00046_41,O43186,PF03529,164.0,249.0,41,96
SRGP3_HUMAN_Beltran_2025_PF00018_745,O43295,PF00018,750.0,795.0,745,802
SRGP3_HUMAN_Beltran_2025_PF00018_745,O43295,PF00611,31.0,114.0,745,802
SRGP3_HUMAN_Beltran_2025_PF00018_745,O43295,PF00620,520.0,667.0,745,802
RIPK2_HUMAN_Beltran_2025_PF00619_438,O43353,PF00619,437.0,519.0,438,518
RIPK2_HUMAN_Beltran_2025_PF00619_438,O43353,PF07714,22.0,288.0,438,518
RASL2_HUMAN_Beltran_2025_PF00779_682,O43374,PF00168,6.0,105.0,682,709
RASL2_HUMAN_Beltran_2025_PF00779_682,O43374,PF00168,134.0,234.0,682,709
RASL2_HUMAN_Beltran_2025_PF00779_682,O43374,PF00169,568.0,671.0,682,709
RASL2_HUMAN_Beltran_2025_PF00779_682,O43374,PF00616,323.0,512.0,682,709
RASL2_HUMAN_Beltran_2025_PF00779_682,O43374,PF00779,681.0,710.0,682,709
PRPF3_HUMAN_Beltran_2025_PF01480_10,O43395,PF01480,9.0,77.0,10,77
PRPF3_HUMAN_Beltran_2025_PF01480_10,O43395,PF06544,544.0,673.0,10,77
PRPF3_HUMAN_Beltran_2025_PF01480_10,O43395,PF08572,308.0,521.0,10,77
PPIP1_HUMAN_Beltran_2025_PF00018_361,O43586,PF00018,365.0,409.0,361,416
PPIP1_HUMAN_Beltran_2025_PF00018_361,O43586,PF00611,21.0,93.0,361,416
ZN292_HUMAN_Beltran_2025_PF00096_808,O60281,PF00096,807.0,831.0,808,831
ZN292_HUMAN_Beltran_2025_PF00096_808,O60281,PF25420,531.0,563.0,808,831
ZN292_HUMAN_Beltran_2025_PF00096_808,O60281,PF25580,247.0,469.0,808,831
ZN292_HUMAN_Beltran_2025_PF00096_808,O60281,PF26218,2158.0,2212.0,808,831
ZN292_HUMAN_Beltran_2025_PF00096_808,O60281,PF26218,2369.0,2426.0,808,831
ZC3H1_HUMAN_Beltran_2025_PF10650_1186,O60293,PF10650,1185.0,1204.0,1186,1204
KDM1A_HUMAN_Beltran_2025_PF04433_186,O60341,PF01593,288.0,825.0,186,264
KDM1A_HUMAN_Beltran_2025_PF04433_186,O60341,PF04433,184.0,264.0,186,264
ZIC3_HUMAN_Beltran_2025_PF00096_389,O60481,PF00096,328.0,352.0,389,410
ZIC3_HUMAN_Beltran_2025_PF00096_389,O60481,PF00096,358.0,382.0,389,410
ZIC3_HUMAN_Beltran_2025_PF00096_389,O60481,PF00096,388.0,410.0,389,410
ZIC3_HUMAN_Beltran_2025_PF00096_389,O60481,PF18366,244.0,290.0,389,410
ZIC3_HUMAN_Beltran_2025_PF00096_389,O60481,PF23561,297.0,326.0,389,410
BRD4_HUMAN_Beltran_2025_PF17035_607,O60885,PF00439,70.0,151.0,607,673
BRD4_HUMAN_Beltran_2025_PF17035_607,O60885,PF00439,357.0,444.0,607,673
BRD4_HUMAN_Beltran_2025_PF17035_607,O60885,PF17035,609.0,672.0,607,673
BRD4_HUMAN_Beltran_2025_PF17035_607,O60885,PF17105,1319.0,1362.0,607,673
LDB3_HUMAN_Beltran_2025_PF00595_1,O75112,PF00412,551.0,605.0,1,83
LDB3_HUMAN_Beltran_2025_PF00595_1,O75112,PF00412,610.0,664.0,1,83
LDB3_HUMAN_Beltran_2025_PF00595_1,O75112,PF00412,669.0,722.0,1,83
LDB3_HUMAN_Beltran_2025_PF00595_1,O75112,PF00595,9.0,81.0,1,83
LDB3_HUMAN_Beltran_2025_PF00595_1,O75112,PF15936,193.0,294.0,1,83
PROP1_HUMAN_Beltran_2025_PF00046_71,O75360,PF00046,70.0,126.0,71,126
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,26.0,105.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,144.0,215.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,265.0,340.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,407.0,486.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,525.0,592.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF00626,628.0,704.0,785,819
AVIL_HUMAN_Beltran_2025_PF02209_785,O75366,PF02209,784.0,819.0,785,819
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00307,17.0,122.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00307,140.0,239.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,252.0,344.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,352.0,443.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,450.0,540.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,549.0,632.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,644.0,733.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,740.0,836.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,844.0,935.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,942.0,1031.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1038.0,1124.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1130.0,1218.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1226.0,1319.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1326.0,1412.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1419.0,1508.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1515.0,1605.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1612.0,1701.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1758.0,1812.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1822.0,1905.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,1917.0,1990.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2000.0,2086.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2129.0,2182.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2192.0,2276.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2295.0,2372.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2382.0,2468.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_1423,O75369,PF00630,2510.0,2598.0,1423,1512
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00307,17.0,122.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00307,140.0,239.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,252.0,344.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,352.0,443.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,450.0,540.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,549.0,632.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,644.0,733.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,740.0,836.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,844.0,935.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,942.0,1031.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1038.0,1124.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1130.0,1218.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1226.0,1319.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1326.0,1412.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1419.0,1508.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1515.0,1605.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1612.0,1701.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1758.0,1812.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1822.0,1905.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,1917.0,1990.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2000.0,2086.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2129.0,2182.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2192.0,2276.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2295.0,2372.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2382.0,2468.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2109,O75369,PF00630,2510.0,2598.0,2109,2186
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00307,17.0,122.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00307,140.0,239.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,252.0,344.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,352.0,443.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,450.0,540.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,549.0,632.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,644.0,733.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,740.0,836.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,844.0,935.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,942.0,1031.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1038.0,1124.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1130.0,1218.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1226.0,1319.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1326.0,1412.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1419.0,1508.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1515.0,1605.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1612.0,1701.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1758.0,1812.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1822.0,1905.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,1917.0,1990.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2000.0,2086.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2129.0,2182.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2192.0,2276.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2295.0,2372.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2382.0,2468.0,2289,2378
FLNB_HUMAN_Beltran_2025_PF00630_2289,O75369,PF00630,2510.0,2598.0,2289,2378
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF00097,22.0,62.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF00630,321.0,415.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF00643,114.0,150.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,486.0,513.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,533.0,560.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,576.0,602.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,622.0,649.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,669.0,696.0,111,154
TRIM3_HUMAN_Beltran_2025_PF00643_111,O75382,PF01436,713.0,738.0,111,154
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF00397,145.0,171.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF00397,185.0,212.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF01846,395.0,444.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF01846,462.0,510.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF01846,609.0,664.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF01846,746.0,796.0,176,226
PR40A_HUMAN_Beltran_2025_PF00397_176,O75400,PF25432,671.0,729.0,176,226
