protein_name,msa_location,theta,weights_location,seed
SPD2B_HUMAN_Beltran_2025_PF00018_155,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.npy,3000
SPD2B_HUMAN_Beltran_2025_PF00018_155,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.npy,4000
SPD2B_HUMAN_Beltran_2025_PF00018_155,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_155_theta_0.8_b0.9.npy,5000
SPD2B_HUMAN_Beltran_2025_PF00018_222,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.npy,1000
SPD2B_HUMAN_Beltran_2025_PF00018_222,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.npy,2000
SPD2B_HUMAN_Beltran_2025_PF00018_222,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.npy,3000
SPD2B_HUMAN_Beltran_2025_PF00018_222,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.npy,4000
SPD2B_HUMAN_Beltran_2025_PF00018_222,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.a2m,0.2,SPD2B_HUMAN_Beltran_2025_PF00018_222_theta_0.8_b0.9.npy,5000
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.a2m,0.2,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.npy,1000
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.a2m,0.2,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.npy,2000
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.a2m,0.2,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.npy,3000
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.a2m,0.2,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.npy,4000
A2RRE5_HUMAN_Beltran_2025_PF01846_267,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.a2m,0.2,A2RRE5_HUMAN_Beltran_2025_PF01846_267_theta_0.8_b0.7.npy,5000
ASB14_HUMAN_Beltran_2025_PF07525_532,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.a2m,0.2,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.npy,1000
ASB14_HUMAN_Beltran_2025_PF07525_532,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.a2m,0.2,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.npy,2000
ASB14_HUMAN_Beltran_2025_PF07525_532,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.a2m,0.2,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.npy,3000
ASB14_HUMAN_Beltran_2025_PF07525_532,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.a2m,0.2,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.npy,4000
ASB14_HUMAN_Beltran_2025_PF07525_532,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.a2m,0.2,ASB14_HUMAN_Beltran_2025_PF07525_532_theta_0.8_b0.7.npy,5000
WWP2_HUMAN_Beltran_2025_PF00397_440,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.a2m,0.2,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.npy,1000
WWP2_HUMAN_Beltran_2025_PF00397_440,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.a2m,0.2,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.npy,2000
WWP2_HUMAN_Beltran_2025_PF00397_440,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.a2m,0.2,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.npy,3000
WWP2_HUMAN_Beltran_2025_PF00397_440,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.a2m,0.2,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.npy,4000
WWP2_HUMAN_Beltran_2025_PF00397_440,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.a2m,0.2,WWP2_HUMAN_Beltran_2025_PF00397_440_theta_0.8_b1.npy,5000
ODPX_HUMAN_Beltran_2025_PF02817_181,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.a2m,0.2,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.npy,1000
ODPX_HUMAN_Beltran_2025_PF02817_181,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.a2m,0.2,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.npy,2000
ODPX_HUMAN_Beltran_2025_PF02817_181,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.a2m,0.2,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.npy,3000
ODPX_HUMAN_Beltran_2025_PF02817_181,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.a2m,0.2,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.npy,4000
ODPX_HUMAN_Beltran_2025_PF02817_181,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.a2m,0.2,ODPX_HUMAN_Beltran_2025_PF02817_181_theta_0.8_b1.05.npy,5000
CUX2_HUMAN_Beltran_2025_PF02376_1036,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.npy,1000
CUX2_HUMAN_Beltran_2025_PF02376_1036,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.npy,2000
CUX2_HUMAN_Beltran_2025_PF02376_1036,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.npy,3000
CUX2_HUMAN_Beltran_2025_PF02376_1036,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.npy,4000
CUX2_HUMAN_Beltran_2025_PF02376_1036,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_1036_theta_0.8_b0.7.npy,5000
CUX2_HUMAN_Beltran_2025_PF02376_895,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.npy,1000
CUX2_HUMAN_Beltran_2025_PF02376_895,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.npy,2000
CUX2_HUMAN_Beltran_2025_PF02376_895,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.npy,3000
CUX2_HUMAN_Beltran_2025_PF02376_895,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.npy,4000
CUX2_HUMAN_Beltran_2025_PF02376_895,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.a2m,0.2,CUX2_HUMAN_Beltran_2025_PF02376_895_theta_0.8_b0.7.npy,5000
DVL1_HUMAN_Beltran_2025_PF00595_246,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.npy,1000
DVL1_HUMAN_Beltran_2025_PF00595_246,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.npy,2000
DVL1_HUMAN_Beltran_2025_PF00595_246,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.npy,3000
DVL1_HUMAN_Beltran_2025_PF00595_246,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.npy,4000
DVL1_HUMAN_Beltran_2025_PF00595_246,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00595_246_theta_0.8_b0.5.npy,5000
DVL1_HUMAN_Beltran_2025_PF00778_4,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.npy,1000
DVL1_HUMAN_Beltran_2025_PF00778_4,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.npy,2000
DVL1_HUMAN_Beltran_2025_PF00778_4,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.npy,3000
DVL1_HUMAN_Beltran_2025_PF00778_4,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.npy,4000
DVL1_HUMAN_Beltran_2025_PF00778_4,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.a2m,0.2,DVL1_HUMAN_Beltran_2025_PF00778_4_theta_0.8_b0.7.npy,5000
TCRG1_HUMAN_Beltran_2025_PF01846_645,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.npy,1000
TCRG1_HUMAN_Beltran_2025_PF01846_645,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.npy,2000
TCRG1_HUMAN_Beltran_2025_PF01846_645,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.npy,3000
TCRG1_HUMAN_Beltran_2025_PF01846_645,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.npy,4000
TCRG1_HUMAN_Beltran_2025_PF01846_645,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_645_theta_0.8_b0.7.npy,5000
TCRG1_HUMAN_Beltran_2025_PF01846_727,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.npy,1000
TCRG1_HUMAN_Beltran_2025_PF01846_727,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.npy,2000
TCRG1_HUMAN_Beltran_2025_PF01846_727,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.npy,3000
TCRG1_HUMAN_Beltran_2025_PF01846_727,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.npy,4000
TCRG1_HUMAN_Beltran_2025_PF01846_727,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_727_theta_0.8_b0.7.npy,5000
TCRG1_HUMAN_Beltran_2025_PF01846_793,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.npy,1000
TCRG1_HUMAN_Beltran_2025_PF01846_793,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.npy,2000
TCRG1_HUMAN_Beltran_2025_PF01846_793,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.npy,3000
TCRG1_HUMAN_Beltran_2025_PF01846_793,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.npy,4000
TCRG1_HUMAN_Beltran_2025_PF01846_793,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_793_theta_0.8_b0.7.npy,5000
TCRG1_HUMAN_Beltran_2025_PF01846_897,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.npy,1000
TCRG1_HUMAN_Beltran_2025_PF01846_897,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.npy,2000
TCRG1_HUMAN_Beltran_2025_PF01846_897,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.npy,3000
TCRG1_HUMAN_Beltran_2025_PF01846_897,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.npy,4000
TCRG1_HUMAN_Beltran_2025_PF01846_897,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_897_theta_0.8_b0.7.npy,5000
TCRG1_HUMAN_Beltran_2025_PF01846_955,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.npy,1000
TCRG1_HUMAN_Beltran_2025_PF01846_955,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.npy,2000
TCRG1_HUMAN_Beltran_2025_PF01846_955,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.npy,3000
TCRG1_HUMAN_Beltran_2025_PF01846_955,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.npy,4000
TCRG1_HUMAN_Beltran_2025_PF01846_955,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.a2m,0.2,TCRG1_HUMAN_Beltran_2025_PF01846_955_theta_0.8_b0.7.npy,5000
PHX2A_HUMAN_Beltran_2025_PF00046_92,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.a2m,0.2,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.npy,1000
PHX2A_HUMAN_Beltran_2025_PF00046_92,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.a2m,0.2,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.npy,2000
PHX2A_HUMAN_Beltran_2025_PF00046_92,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.a2m,0.2,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.npy,3000
PHX2A_HUMAN_Beltran_2025_PF00046_92,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.a2m,0.2,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.npy,4000
PHX2A_HUMAN_Beltran_2025_PF00046_92,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.a2m,0.2,PHX2A_HUMAN_Beltran_2025_PF00046_92_theta_0.8_b0.8.npy,5000
KLF11_HUMAN_Beltran_2025_PF00096_395,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.a2m,0.2,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.npy,1000
KLF11_HUMAN_Beltran_2025_PF00096_395,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.a2m,0.2,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.npy,2000
KLF11_HUMAN_Beltran_2025_PF00096_395,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.a2m,0.2,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.npy,3000
KLF11_HUMAN_Beltran_2025_PF00096_395,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.a2m,0.2,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.npy,4000
KLF11_HUMAN_Beltran_2025_PF00096_395,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.a2m,0.2,KLF11_HUMAN_Beltran_2025_PF00096_395_theta_0.8_b1.2.npy,5000
CSKP_HUMAN_Beltran_2025_PF00595_488,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.a2m,0.2,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.npy,1000
CSKP_HUMAN_Beltran_2025_PF00595_488,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.a2m,0.2,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.npy,2000
CSKP_HUMAN_Beltran_2025_PF00595_488,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.a2m,0.2,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.npy,3000
CSKP_HUMAN_Beltran_2025_PF00595_488,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.a2m,0.2,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.npy,4000
CSKP_HUMAN_Beltran_2025_PF00595_488,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.a2m,0.2,CSKP_HUMAN_Beltran_2025_PF00595_488_theta_0.8_b0.7.npy,5000
MDM4_HUMAN_Beltran_2025_PF00641_299,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.a2m,0.2,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.npy,1000
MDM4_HUMAN_Beltran_2025_PF00641_299,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.a2m,0.2,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.npy,2000
MDM4_HUMAN_Beltran_2025_PF00641_299,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.a2m,0.2,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.npy,3000
MDM4_HUMAN_Beltran_2025_PF00641_299,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.a2m,0.2,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.npy,4000
MDM4_HUMAN_Beltran_2025_PF00641_299,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.a2m,0.2,MDM4_HUMAN_Beltran_2025_PF00641_299_theta_0.8_b0.9.npy,5000
NPHP1_HUMAN_Beltran_2025_PF00018_152,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.a2m,0.2,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.npy,1000
NPHP1_HUMAN_Beltran_2025_PF00018_152,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.a2m,0.2,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.npy,2000
NPHP1_HUMAN_Beltran_2025_PF00018_152,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.a2m,0.2,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.npy,3000
NPHP1_HUMAN_Beltran_2025_PF00018_152,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.a2m,0.2,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.npy,4000
NPHP1_HUMAN_Beltran_2025_PF00018_152,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.a2m,0.2,NPHP1_HUMAN_Beltran_2025_PF00018_152_theta_0.8_b0.9.npy,5000
ATX7_HUMAN_Beltran_2025_PF08313_334,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.a2m,0.2,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.npy,1000
ATX7_HUMAN_Beltran_2025_PF08313_334,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.a2m,0.2,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.npy,2000
ATX7_HUMAN_Beltran_2025_PF08313_334,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.a2m,0.2,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.npy,3000
ATX7_HUMAN_Beltran_2025_PF08313_334,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.a2m,0.2,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.npy,4000
ATX7_HUMAN_Beltran_2025_PF08313_334,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.a2m,0.2,ATX7_HUMAN_Beltran_2025_PF08313_334_theta_0.8_b0.7.npy,5000
SHOX_HUMAN_Beltran_2025_PF00046_119,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.a2m,0.2,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.npy,1000
SHOX_HUMAN_Beltran_2025_PF00046_119,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.a2m,0.2,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.npy,2000
SHOX_HUMAN_Beltran_2025_PF00046_119,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.a2m,0.2,SHOX_HUMAN_Beltran_2025_PF00046_119_theta_0.8_b0.8.npy,3000
