DMS_index,DMS_ID,MSA_num_seqs,MSA_Neff_L,MSA_depth,MSA_start,MSA_end,seq_len,number of mutants,Site_Independent,EVmutation,EVE_ensemble,MSA_Transformer_ensemble,ESM2_650M,GEMME,VespaG,Tranception_L_no_retrieval,Tranception_L,ESM-IF1_142M,ProteinMPNN,SaProt_650M_AF2,PoET,ESCOTT,VenusREM,ProSST-2048,RSALOR,ESM3_1.4B_open,Progen3_3B,AIDO.Protein-RAG-16B
DMS_sub_276,CSKP_HUMAN_Beltran_2025_PF00595_488,28978,4.326572027063037,Medium,1,82,82,1536,0.5973315588736813,0.535634671760141,0.5984974765873614,0.4881879318230557,0.6801155586866846,0.592980833819515,0.6409453000011412,0.5311843827605022,0.6365003810667296,0.7195208038171904,0.5534564364536477,0.5106784092789742,0.5972093566967459,0.6337098840772625,0.7670023492965495,0.7669206710302373,0.6585354793555104,0.7748854862101369,0.5380858511165606,0.7511432159308079
DMS_sub_277,MDM4_HUMAN_Beltran_2025_PF00641_299,3749,3.138040967563244,Medium,1,31,31,579,0.3606516359588897,0.33977926034867767,0.30555215393016455,0.25362521589397585,0.5077297110434489,0.2517679561056102,0.34286104739224876,0.4623056293489165,0.4312645929212047,0.4325942103282316,0.3711906146950515,0.5102692883278007,0.3452084183940672,0.2318381811159687,0.3986600953220135,0.4529322501137884,0.3088787525201384,0.46464913613150893,0.45068411125720814,0.5213155733835358
DMS_sub_278,NPHP1_HUMAN_Beltran_2025_PF00018_152,166807,88.64986260503899,Medium,1,60,60,1126,0.18466461050481686,0.23911919596868536,0.22712057757681997,0.2659854557959414,0.287580054851671,0.2187525157563128,0.25592664579326285,0.22911520544830288,0.24248430865091217,0.33812708115117673,0.25322639838913075,0.3762938590089826,0.28460307668379015,0.19614195315049002,0.2702619334359062,0.2997965294508,0.2214825384033507,0.3146770432179473,0.2265544959575341,0.3565680165018206
DMS_sub_279,ATX7_HUMAN_Beltran_2025_PF08313_334,8141,4.148516352857915,Medium,1,61,61,1134,0.5229519724694741,0.5612559218134808,0.6644761679473372,0.5324312758810855,0.634149771013036,0.6423245309550172,0.6135473730957242,0.26522848791175596,0.48722754972273813,0.7275658781496854,0.5763469962691553,0.6779672135046156,0.6619084175989355,0.6610439428661652,0.6708875184047333,0.6381223276736728,0.7250495544650248,0.6667093884496343,0.45409431865459726,0.6895190280398893
DMS_sub_280,SHOX_HUMAN_Beltran_2025_PF00046_119,236854,80.03550553210809,Medium,1,56,56,1021,0.4835212412482549,0.39707175704863273,0.4371869423357371,0.5048341905288808,0.4949791232285919,0.4017039321963887,0.4860055446648357,0.4334534914149471,0.5060587904945832,0.6572573853981774,0.5827975769539496,0.3063511205402558,0.45252853425593326,0.3976480827683435,0.46450614002460366,0.45946695316394165,0.566662815693428,0.497048134298864,0.5056516841505093,0.5565926678861993
DMS_sub_281,TRI18_HUMAN_Beltran_2025_PF00643_172,47775,31.78306920381713,Medium,1,43,43,780,0.40620002489317925,0.4342798404218069,0.5132966536105873,0.4484043065489636,0.3467402637824934,0.38688514356925224,0.4585311252133478,0.5380332687175458,0.5191257622030485,0.5134950948022566,0.41275950661273436,0.4487671124973755,0.44197115461965814,0.3660159667013173,0.4645436017805499,0.471369878831095,0.41123787098831177,0.49846689278322165,0.4208960827792826,0.44612122177320285
DMS_sub_282,P73_HUMAN_Beltran_2025_PF07647_487,60338,24.35519008831385,Medium,1,63,63,1160,0.5037283618104433,0.46523264891880495,0.611859777450847,0.5802989008535642,0.6448955395355142,0.6268441921572914,0.6649232052045222,0.4772460520146252,0.6027572722323818,0.5618253975392731,0.437187814651242,0.625880270063549,0.5875389336046603,0.6062095599907386,0.5717355129446132,0.5500035710285263,0.5322193928329734,0.5717875628832886,0.5709486104778205,0.6324586057670544
DMS_sub_283,TOX3_HUMAN_Beltran_2025_PF00505_256,120909,94.47902584118644,Medium,1,68,68,1238,0.43016292172531867,0.4294189258329035,0.502413475121306,0.5029062082509796,0.5195844581423972,0.4112239013792759,0.4827222812102007,0.5305626746076009,0.5573310871454047,0.6131049360886023,0.4861364015019353,0.3992401247718241,0.5750906235294132,0.4010321434205966,0.5089146512321235,0.4983811099277256,0.515833296495345,0.6261173635822362,0.4051606964855385,0.5066668468278573
DMS_sub_284,R113A_HUMAN_Beltran_2025_PF00642_198,13932,30.348716489793944,Medium,1,25,25,475,0.37316570130326165,0.31994947513241856,0.4053270884781444,0.23576540009741406,0.265288463153416,0.32569154922220245,0.3564447231257593,0.3043742267060055,0.3785992531589585,0.425376471707937,0.326707909013039,0.3687620018027198,0.3705496055850722,0.3078080717045306,0.34928445462128893,0.327006197548973,0.35757405204538417,0.38042672044396025,0.36671138008834453,0.4463264766151979
DMS_sub_285,ZBT24_HUMAN_Beltran_2025_PF00096_351,6009,14.439063833750817,Medium,1,22,22,417,0.31483621651169896,0.33966259806405236,0.3564205566001633,0.31319572608383667,0.4193866290846602,0.2817210856027163,0.3503116535111992,0.4144569695734028,0.35605288312596156,0.19936507547734356,0.16152661235016402,0.2982521785295356,0.3915527864789508,0.26575345496248154,0.20200549166849813,0.015346850234203511,0.32712925182065616,0.17745172980984836,0.4335955600628073,0.41324633665953214
DMS_sub_286,ZBT24_HUMAN_Beltran_2025_PF00096_435,151335,82.50100834324188,Medium,1,22,22,364,0.3135131591845414,0.350307260684111,0.30989555632185256,0.32180944833497754,0.3071215210692172,0.35494830481972134,0.3363237012053948,0.2623826982482026,0.3140132594678049,0.3115805738470744,0.46723388691010104,0.3741794942293074,0.3550583911729615,0.37896477219452684,0.25817594609624495,0.24921305344717548,0.3598486668416117,0.32995150982780547,0.3729252067981831,0.32879708361287985
DMS_sub_287,CRX_HUMAN_Beltran_2025_PF00046_41,236676,79.56384989205159,Medium,1,56,56,1008,0.44479286888942027,0.4185408482728129,0.44785393612383223,0.5203631112732696,0.5371765314033786,0.4362316330506934,0.48124368882065155,0.47026694864166807,0.5107915321394568,0.6877334983860601,0.5628485429113124,0.4129566663920207,0.48818249859700796,0.4327457565190923,0.48905799502431135,0.49261938368691843,0.5500102588283408,0.5378534602518569,0.47216830595433734,0.6103357494040721
DMS_sub_288,SRGP3_HUMAN_Beltran_2025_PF00018_745,11184,1.7055301389005966,Medium,1,58,58,1037,0.476824475128337,0.4807323574144365,0.44783421888519387,0.3806574670869679,0.5847699481575414,0.488405815852889,0.5427270511473045,0.4362800245925641,0.500828984020413,0.5955049696078649,0.5206626235645517,0.602067805727138,0.5518912672029944,0.5202472722289405,0.6176231367282823,0.6193197468755864,0.5327518657078595,0.606632532427512,0.470080407487308,0.5718464106427963
DMS_sub_289,RIPK2_HUMAN_Beltran_2025_PF00619_438,15348,19.92434937772435,Medium,1,81,81,1347,0.4082247613968788,0.3706547458664532,0.40451649487470864,0.35577223699184385,0.34261790899239164,0.40092072787867356,0.4249069595346324,0.23764492144782656,0.4163422006062824,0.531394471564294,0.42952244439942794,0.5256918567819548,0.42716282156744556,0.41108857705643975,0.5195569174738786,0.5375153873501615,0.40121310981092484,0.5644938033179597,0.3017345483657506,0.4547512401435956
DMS_sub_290,RASL2_HUMAN_Beltran_2025_PF00779_682,22005,23.185364433912948,Medium,1,28,28,501,0.2320852416451782,0.3376717447518712,0.440880066410794,0.41920190899162435,0.4238732834857764,0.4461071051858891,0.4504223215025486,-0.06044917480853057,0.37327238049651423,0.3474384222973598,0.24070726055555658,0.46180553145037906,0.4438551051805976,0.4882085429231186,0.4472227603889298,0.4002476417741644,0.48653884077168535,0.39797746836247927,0.33233237904268875,0.4523574700292839
DMS_sub_291,PRPF3_HUMAN_Beltran_2025_PF01480_10,1510,1.6931790109693754,Medium,1,68,68,1211,0.35505718352455296,0.35408669799332504,0.30296878718877795,0.3365655552656966,0.38612944329218124,0.46400803136976587,0.4429440425386824,0.3267474810022035,0.4204561986745224,0.5190003918965972,0.454453691814706,0.5885493053266799,0.41321838571457475,0.5107289771851928,0.6029975507649356,0.6209543127508769,0.46125798136371393,0.6053050658289022,0.4735470759720989,0.5624029474289965
DMS_sub_292,PPIP1_HUMAN_Beltran_2025_PF00018_361,152760,53.46221466579944,Medium,1,56,56,1028,0.5232058379243969,0.5734040761880966,0.6059343252276044,0.6399043612394008,0.6611041200802239,0.6200548275854464,0.6636951750833584,0.5731216474979084,0.6203181146293002,0.7484753771348595,0.6273704222031955,0.6862374121540608,0.6528642976378156,0.6191904873464109,0.687762203469644,0.7171693428544985,0.60783180483661,0.7439490383314457,0.46820328891039265,0.7420060298689337
DMS_sub_293,ZN292_HUMAN_Beltran_2025_PF00096_808,2007,4.16082070752358,Medium,1,24,24,452,0.3411755076893738,0.3569650026627115,0.3319932276539284,0.2724355404966569,0.423507874106302,0.2659927221718217,0.43290918888953717,0.3722928191118527,0.39651335152512285,0.38498700459611457,0.36386234241099213,0.46841397596204387,0.36083794333065683,0.29230800273799684,0.3290037844622504,0.34369578344917934,0.31600202501843483,0.3847968439623758,0.39904226062980636,0.41765046440494663
DMS_sub_294,ZC3H1_HUMAN_Beltran_2025_PF10650_1186,7987,30.06081840589058,Medium,1,19,19,358,0.45636728207534355,0.462373822308817,0.36314912413098455,0.41701587499194137,0.4424664436353898,,0.3585044917268195,0.2444106943597532,0.4646807354304446,0.46176196626703153,0.42481965942723865,0.4630474277758286,0.4252300132639228,,0.3778363682037761,0.27039349376015015,0.48870188008590965,0.37484712248982455,0.13154142004135183,0.3940307481749434
DMS_sub_295,KDM1A_HUMAN_Beltran_2025_PF04433_186,2829,1.6424510964140735,Medium,1,79,79,1484,0.538054542749047,0.48689759371199454,0.5097910564599162,0.44274694990959534,0.5716186060168698,0.5303106688495627,0.6055793850469383,0.31417357297292786,0.5101860014344866,0.726778816942157,0.5753847804520723,0.7462202280871623,0.5421980336200409,0.5845784018561857,0.7216209868159617,0.7102108052192256,0.6633584946309967,0.7431510152024046,0.3235450561156853,0.7075516926538706
DMS_sub_296,ZIC3_HUMAN_Beltran_2025_PF00096_389,20350,10.883013097092132,Medium,1,22,22,418,0.3311624579991208,0.33677889464637856,0.2578543091396834,0.29660808015268025,0.4176850866088597,0.2311797157150701,0.3622413188427002,0.3219259126962056,0.3474497856579931,0.4248756343157195,0.43910195295591187,0.3657306971223104,0.2993270250022818,0.21455210715368364,0.23381192272432752,0.36526751694760484,0.3550461430334145,0.3997521269093455,0.430430017361452,0.34274499188428476
DMS_sub_297,BRD4_HUMAN_Beltran_2025_PF17035_607,15555,9.052671268879124,Medium,1,67,67,1269,0.4604203919693568,0.4573066103832312,0.5376722044524943,0.4362213415181616,0.503075306069324,0.4897492367551484,0.5098051640450776,0.3559073356340205,0.45031241857906223,0.49648915118578824,0.4521144126827762,0.37987775606846375,0.5023408536111655,0.4858036094668702,0.4653180209933207,0.4785870648308702,0.5150387048156236,0.5205140139775146,0.506910132776795,0.5635928519607116
DMS_sub_298,LDB3_HUMAN_Beltran_2025_PF00595_1,58106,12.363689374817822,Medium,1,83,83,1565,0.661706686286351,0.6102951811818806,0.7239055800991406,0.6125791046700364,0.6943224513807803,0.6758744205591589,0.6655100815160689,0.5067344464084779,0.6463921299539234,0.7748095352846885,0.6512112618564303,0.5930088640599723,0.6824679059701213,0.7065800953536369,0.7920209875392473,0.7856413742925913,0.7099494191382133,0.7487913497714491,0.5807914808980075,0.793354997933287
DMS_sub_299,PROP1_HUMAN_Beltran_2025_PF00046_71,239000,82.48961071075597,Medium,1,56,56,1037,0.46577742092025304,0.35240366500306763,0.441460966444925,0.45087857269425524,0.45707506735648074,0.362709034150521,0.43479555817331644,0.41733398033483216,0.47272655145883075,0.6636787993472627,0.604545422715437,0.40919201005536254,0.43454051596966137,0.3830143435182121,0.45798045050018454,0.45061290418048217,0.5715684502426305,0.4982034490285493,0.49245105449596605,0.5857378560242148
DMS_sub_300,AVIL_HUMAN_Beltran_2025_PF02209_785,39751,33.34733611982031,Medium,1,35,35,621,0.2602728968487539,0.2515846010704494,0.22508985627505718,0.24102161310866885,0.27751440982478714,0.2337123560735501,0.3089771592439095,0.28192812800804934,0.29275778215722204,0.5389533529055407,0.46217628315462295,0.3399837249027528,0.27254083430918774,0.24578267778761706,0.4158546405323079,0.5197101048410898,0.36312293420205366,0.5445799426119461,0.3195018557519291,0.36071596760047997
DMS_sub_301,FLNB_HUMAN_Beltran_2025_PF00630_1423,175386,28.284257962678183,Medium,1,90,90,1695,0.6571554800272043,0.6421593346022263,0.7066494377830989,0.6534156337074333,0.715823477139602,0.6816874812041017,0.6946984124911673,0.4291262597309982,0.6142011370193559,0.6885646773909909,0.5347338778455194,0.7289200278290355,0.6916975485973704,0.7347128732915185,0.6991175076255981,0.6715213026022924,0.7527627037208914,0.7442486725118215,0.5181174578362411,0.7788961170590616
DMS_sub_302,FLNB_HUMAN_Beltran_2025_PF00630_2109,43375,7.081722064151149,Medium,1,78,78,1204,0.4213359672683364,0.40511963856152394,0.40464297611817,0.4123735960043557,0.38131656437982137,0.39459598758839476,0.36242079444282876,0.24741858366264532,0.39423702873068606,0.34707850233540993,0.25407613526227324,0.36773242508478576,0.4114953893445635,0.4194131387232632,0.4146702215321953,0.40790186536555817,0.4098125647533075,0.36510844855515207,0.289831306669522,0.4196228898849844
DMS_sub_303,FLNB_HUMAN_Beltran_2025_PF00630_2289,28812,4.138285174947537,Medium,1,90,90,1691,0.38211320958480016,0.4027963115841167,0.44314765285475854,0.3859640751833803,0.4387774792426472,0.44485312435402513,0.48446769290566155,0.4123393375667034,0.4369977249902869,0.4608437205330982,0.33514895357036095,0.4892431242736113,0.48566655333412123,0.4506328744300916,0.44414269612321083,0.4461400136704108,0.40859628197500797,0.48377570515304136,0.39724003487531,0.4865456514314887
DMS_sub_304,TRIM3_HUMAN_Beltran_2025_PF00643_111,16360,21.098115351199933,Medium,1,44,44,799,0.5536798129298444,0.5191139381457683,0.5947692793402803,0.4826660379358837,0.5710670712811488,0.5376756800588095,0.5450128867029851,0.48249794718136807,0.5652617059536558,0.49569532987304776,0.44334845769792663,0.5625784176011652,0.5370095553771345,0.5410622939068583,0.48901125806942963,0.48539323691025016,0.5348451503505035,0.48371837102392623,0.49190446867156207,0.5596142075977906
DMS_sub_305,PR40A_HUMAN_Beltran_2025_PF00397_176,23767,20.712803694153287,Medium,1,51,51,957,0.37193014291240617,0.41860341310946786,0.4523810948467454,0.4778090649201922,0.4536644853717495,0.4718536617233871,0.44191260714601877,0.4293894547503865,0.49897547714246093,0.5500629697175213,0.44011838462250197,0.5026135259087632,0.4237814003659804,0.4477083131537911,0.48975008898685424,0.468038337062078,0.4849439347727048,0.5549911158411605,0.4384070631534071,0.39755226653236214
DMS_sub_306,PR40A_HUMAN_Beltran_2025_PF01846_395,23062,18.3478236165062,Medium,1,50,50,908,0.5203307041400314,0.5337997222579397,0.5021901308184131,0.4783684668949195,0.455675345716019,0.4484797779935105,0.51218155343309,0.1323153443233623,0.4805676396460031,0.5695749328095889,0.524345257843203,0.49335182001606276,0.5092305737429379,0.4638539327372989,0.6321068385610134,0.6417106388207803,0.4930203276151461,0.6601506341381035,0.4675945337395185,0.5805365440695464
DMS_sub_307,PR40A_HUMAN_Beltran_2025_PF01846_459,7404,4.952772500836255,Medium,1,54,54,962,0.35796548038960196,0.334214171831226,0.3033040223225791,0.31469130669729745,0.40370698860200654,0.3029634263022782,0.36488915058745947,0.08861456816760387,0.339023398068898,0.4998894084737298,0.38994264973934845,0.43140280810348014,0.3533444936231546,0.3401624403024376,0.43852966181731984,0.473566583158422,0.41452343140889025,0.4754949684593504,0.1433886015434067,0.3558887396707668
DMS_sub_308,PR40A_HUMAN_Beltran_2025_PF01846_670,6153,2.882246622927038,Medium,1,55,55,923,0.3897315069012649,0.37898640749109375,0.3449193421667272,0.38341070459253324,0.36142483605860437,0.3785779613889351,0.2795864441827222,0.36711526527829585,0.46374328488527194,0.6421942653060067,0.5326512187345875,0.5894259405422235,0.3381412137717046,0.4040326931921708,0.6167565382842738,0.6453408395407803,0.49241760785017197,0.6641277476071512,0.43092970619612603,0.5171726160778993
DMS_sub_309,PR40A_HUMAN_Beltran_2025_PF01846_745,7059,5.515114577214447,Medium,1,60,60,1084,0.4978802595466948,0.47695935221609836,0.5139102314167107,0.48167169520181136,0.6689126618778651,0.5460774114675471,0.5679045185179551,0.08777042740867487,0.48336955402158904,0.6356342069525666,0.5436818240721475,0.6987801372572482,0.5067598103952137,0.594208078106304,0.639171874452666,0.6106692751274435,0.6300896096241051,0.7198414077215485,0.46946183096021327,0.6508893391067686
DMS_sub_310,TAD2A_HUMAN_Beltran_2025_PF04433_375,5676,9.855662897714758,Medium,1,66,66,1163,0.540636212103394,0.5074600752114234,0.5094100763736097,0.4640695036654131,0.4181366200881821,0.5640668382463639,0.571795457638748,0.43886713357786905,0.5719938954909668,0.6843408227809326,0.583505195357584,0.5774354218481498,0.4794067032813778,0.5618392938601147,0.6453551507942112,0.641801703863494,0.5808702461293744,0.6937027616478056,0.5201103022284584,0.6613110579851568
DMS_sub_311,CSDE1_HUMAN_Beltran_2025_PF00313_184,21378,13.53875302172824,Medium,1,71,71,1271,0.4239720914356382,0.39654890445198204,0.5139197089563723,0.49722539361641377,0.47744911014856983,0.47676534114213787,0.5907711374589725,0.485926882773314,0.525499698630818,0.6125261527088657,0.5102526808461693,0.535830344607129,0.47058410635047027,0.5015758888797811,0.614485287994924,0.6067134187941414,0.5555959331378801,0.6378149487973064,0.4767981110357104,0.6087406674626022
DMS_sub_312,CSDE1_HUMAN_Beltran_2025_PF00313_23,43748,43.60315563133148,Medium,1,69,69,1247,0.5013974528670235,0.46155527285715686,0.5408458770341421,0.45282918147916335,0.4415658857462217,0.5011284696618695,0.4961059779681415,0.3459715833896183,0.4822847466519718,0.4676155176703593,0.37626416172199006,0.5273525683717147,0.5013162710229423,0.5030656555821109,0.4849700970652517,0.47349830228350537,0.4962654391347703,0.5066341923908617,0.2786869796831988,0.521236939932673
