,index,DMS_id,total_number_mutants,estimated_min
100,100,NP_000160.1,205,31.53846153846154
101,101,NP_000161.2,119,18.307692307692307
102,102,NP_000162.2,37,5.6923076923076925
103,103,NP_000164.5,27,4.153846153846154
104,104,NP_000165.1,6,0.9230769230769231
105,105,NP_000166.2,13,2.0
106,106,NP_000168.1,32,4.923076923076923
107,107,NP_000169.1,7,1.0769230769230769
108,108,NP_000170.1,92,14.153846153846153
109,109,NP_000171.1,34,5.230769230769231
110,110,NP_000172.2,16,2.4615384615384617
111,111,NP_000173.2,23,3.5384615384615383
112,112,NP_000174.1,16,2.4615384615384617
113,113,NP_000175.1,7,1.0769230769230769
114,114,NP_000177.2,22,3.3846153846153846
115,115,NP_000178.2,40,6.153846153846154
116,116,NP_000179.2,10,1.5384615384615385
117,117,NP_000181.2,38,5.846153846153846
118,118,NP_000182.2,5,0.7692307692307693
119,119,NP_000183.2,42,6.461538461538462
120,120,NP_000184.1,12,1.8461538461538463
121,121,NP_000185.1,22,3.3846153846153846
122,122,NP_000186.2,21,3.230769230769231
123,123,NP_000187.3,8,1.2307692307692308
124,124,NP_000188.1,13,2.0
125,125,NP_000189.1,13,2.0
126,126,NP_000190.1,59,9.076923076923077
127,127,NP_000194.2,74,11.384615384615385
128,128,NP_000197.1,65,10.0
129,129,NP_000198.1,23,3.5384615384615383
130,130,NP_000199.2,16,2.4615384615384617
131,131,NP_000200.1,7,1.0769230769230769
132,132,NP_000202.3,20,3.076923076923077
133,133,NP_000203.2,65,10.0
134,134,NP_000205.1,79,12.153846153846153
135,135,NP_000206.2,28,4.3076923076923075
136,136,NP_000207.2,22,3.3846153846153846
137,137,NP_000208.2,19,2.923076923076923
138,138,NP_000209.2,197,30.307692307692307
139,139,NP_000210.2,6,0.9230769230769231
140,140,NP_000211.1,14,2.1538461538461537
141,141,NP_000213.1,15,2.3076923076923075
142,142,NP_000214.1,8,1.2307692307692308
143,143,NP_000217.2,16,2.4615384615384617
144,144,NP_000219.2,34,5.230769230769231
145,145,NP_000220.1,18,2.769230769230769
146,146,NP_000221.1,2,0.3076923076923077
147,147,NP_000222.2,7,1.0769230769230769
148,148,NP_000224.2,19,2.923076923076923
149,149,NP_000226.2,41,6.3076923076923075
150,150,NP_000228.1,40,6.153846153846154
151,151,NP_000229.1,151,23.23076923076923
152,152,NP_000230.1,6,0.9230769230769231
153,153,NP_000231.1,8,1.2307692307692308
154,154,NP_000239.1,19,2.923076923076923
155,155,NP_000240.1,184,28.307692307692307
156,156,NP_000241.1,5,0.7692307692307693
157,157,NP_000242.1,288,44.30769230769231
158,158,NP_000243.1,75,11.538461538461538
159,159,NP_000244.2,19,2.923076923076923
160,160,NP_000245.2,14,2.1538461538461537
161,161,NP_000246.2,108,16.615384615384617
162,162,NP_000247.2,60,9.23076923076923
163,163,NP_000248.2,301,46.30769230769231
164,164,NP_000249.1,5,0.7692307692307693
165,165,NP_000251.3,152,23.384615384615383
166,166,NP_000252.1,45,6.923076923076923
167,167,NP_000254.2,80,12.307692307692308
168,168,NP_000255.2,175,26.923076923076923
169,169,NP_000257.1,16,2.4615384615384617
170,170,NP_000259.1,7,1.0769230769230769
171,171,NP_000261.2,10,1.5384615384615385
172,172,NP_000262.2,143,22.0
173,173,NP_000263.2,10,1.5384615384615385
174,174,NP_000264.2,21,3.230769230769231
175,175,NP_000265.1,17,2.6153846153846154
176,176,NP_000266.2,69,10.615384615384615
177,177,NP_000267.2,42,6.461538461538462
178,178,NP_000268.1,399,61.38461538461539
179,179,NP_000269.3,13,2.0
180,180,NP_000272.1,3,0.46153846153846156
181,181,NP_000273.2,35,5.384615384615385
182,182,NP_000274.3,32,4.923076923076923
183,183,NP_000275.1,61,9.384615384615385
184,184,NP_000276.2,17,2.6153846153846154
185,185,NP_000277.1,4,0.6153846153846154
186,186,NP_000278.3,30,4.615384615384615
187,187,NP_000279.1,11,1.6923076923076923
188,188,NP_000280.1,6,0.9230769230769231
189,189,NP_000282.1,19,2.923076923076923
190,190,NP_000283.1,45,6.923076923076923
191,191,NP_000286.3,52,8.0
192,192,NP_000288.1,24,3.6923076923076925
193,193,NP_000292.1,14,2.1538461538461537
194,194,NP_000293.2,16,2.4615384615384617
195,195,NP_000294.1,60,9.23076923076923
196,196,NP_000295.1,29,4.461538461538462
197,197,NP_000298.3,9,1.3846153846153846
198,198,NP_000299.3,4,0.6153846153846154
199,199,NP_000300.1,11,1.6923076923076923
200,200,NP_000301.1,25,3.8461538461538463
201,201,NP_000302.1,19,2.923076923076923
202,202,NP_000303.1,49,7.538461538461538
203,203,NP_000306.1,3,0.46153846153846156
204,204,NP_000307.1,9,1.3846153846153846
205,205,NP_000308.1,27,4.153846153846154
206,206,NP_000312.2,67,10.307692307692308
207,207,NP_000313.2,85,13.076923076923077
208,208,NP_000315.2,4,0.6153846153846154
209,209,NP_000316.2,15,2.3076923076923075
210,210,NP_000317.1,7,1.0769230769230769
211,211,NP_000320.1,65,10.0
212,212,NP_000321.1,100,15.384615384615385
213,213,NP_000325.4,92,14.153846153846153
214,214,NP_000327.2,16,2.4615384615384617
215,215,NP_000329.2,15,2.3076923076923075
216,216,NP_000331.1,9,1.3846153846153846
217,217,NP_000332.2,13,2.0
218,218,NP_000333.1,36,5.538461538461538
219,219,NP_000334.1,10,1.5384615384615385
220,220,NP_000336.1,7,1.0769230769230769
221,221,NP_000337.1,50,7.6923076923076925
222,222,NP_000340.2,13,2.0
223,223,NP_000341.2,448,68.92307692307692
224,224,NP_000343.2,100,15.384615384615385
225,225,NP_000344.1,7,1.0769230769230769
226,226,NP_000349.1,18,2.769230769230769
227,227,NP_000350.1,81,12.461538461538462
228,228,NP_000353.1,9,1.3846153846153846
229,229,NP_000354.4,47,7.230769230769231
230,230,NP_000359.1,111,17.076923076923077
231,231,NP_000360.2,22,3.3846153846153846
232,232,NP_000361.1,3,0.46153846153846156
233,233,NP_000362.1,84,12.923076923076923
234,234,NP_000363.1,91,14.0
235,235,NP_000364.1,5,0.7692307692307693
236,236,NP_000365.3,10,1.5384615384615385
237,237,NP_000366.1,15,2.3076923076923075
238,238,NP_000368.1,48,7.384615384615385
239,239,NP_000371.1,7,1.0769230769230769
240,240,NP_000372.1,12,1.8461538461538463
241,241,NP_000373.1,28,4.3076923076923075
242,242,NP_000374.1,39,6.0
243,243,NP_000378.1,7,1.0769230769230769
244,244,NP_000381.1,31,4.769230769230769
245,245,NP_000382.3,46,7.076923076923077
246,246,NP_000383.2,24,3.6923076923076925
247,247,NP_000384.2,74,11.384615384615385
248,248,NP_000387.1,23,3.5384615384615383
249,249,NP_000388.2,71,10.923076923076923
250,250,NP_000389.1,8,1.2307692307692308
251,251,NP_000391.1,23,3.5384615384615383
252,252,NP_000393.4,188,28.923076923076923
253,253,NP_000396.2,6,0.9230769230769231
254,254,NP_000398.1,11,1.6923076923076923
255,255,NP_000400.2,20,3.076923076923077
256,256,NP_000401.1,3,0.46153846153846156
257,257,NP_000402.3,31,4.769230769230769
258,258,NP_000405.1,30,4.615384615384615
259,259,NP_000407.1,7,1.0769230769230769
260,260,NP_000410.2,76,11.692307692307692
261,261,NP_000412.4,27,4.153846153846154
262,262,NP_000413.1,21,3.230769230769231
263,263,NP_000414.2,27,4.153846153846154
264,264,NP_000415.2,63,9.692307692307692
265,265,NP_000416.1,85,13.076923076923077
266,266,NP_000421.1,42,6.461538461538462
267,267,NP_000422.1,34,5.230769230769231
268,268,NP_000424.2,11,1.6923076923076923
269,269,NP_000425.1,21,3.230769230769231
270,270,NP_000427.1,8,1.2307692307692308
271,271,NP_000430.3,8,1.2307692307692308
272,272,NP_000431.2,15,2.3076923076923075
273,273,NP_000432.1,139,21.384615384615383
274,274,NP_000434.1,19,2.923076923076923
275,275,NP_000435.3,148,22.76923076923077
276,276,NP_000438.2,12,1.8461538461538463
277,277,NP_000439.2,63,9.692307692307692
278,278,NP_000444.1,4,0.6153846153846154
279,279,NP_000446.1,29,4.461538461538462
280,280,NP_000447.2,12,1.8461538461538463
281,281,NP_000449.1,76,11.692307692307692
282,282,NP_000450.3,35,5.384615384615385
283,283,NP_000451.1,5,0.7692307692307693
284,284,NP_000452.2,34,5.230769230769231
285,285,NP_000456.2,17,2.6153846153846154
286,286,NP_000457.1,32,4.923076923076923
287,287,NP_000465.1,23,3.5384615384615383
288,288,NP_000466.2,21,3.230769230769231
289,289,NP_000467.1,4,0.6153846153846154
290,290,NP_000470.3,17,2.6153846153846154
291,291,NP_000472.2,29,4.461538461538462
292,292,NP_000475.1,25,3.8461538461538463
293,293,NP_000476.1,10,1.5384615384615385
294,294,NP_000477.1,18,2.769230769230769
295,295,NP_000478.3,114,17.53846153846154
296,296,NP_000479.1,33,5.076923076923077
297,297,NP_000481.2,10,1.5384615384615385
298,298,NP_000483.3,198,30.46153846153846
299,299,NP_000484.2,54,8.307692307692308
300,300,NP_000485.3,35,5.384615384615385
301,301,NP_000486.1,508,78.15384615384616
302,302,NP_000487.1,12,1.8461538461538463
303,303,NP_000488.3,46,7.076923076923077
304,304,NP_000489.3,31,4.769230769230769
305,305,NP_000491.4,43,6.615384615384615
306,306,NP_000495.1,13,2.0
307,307,NP_000496.2,7,1.0769230769230769
308,308,NP_000497.1,9,1.3846153846153846
309,309,NP_000498.2,16,2.4615384615384617
310,310,NP_000500.2,11,1.6923076923076923
311,311,NP_000503.1,90,13.846153846153847
312,312,NP_000506.2,9,1.3846153846153846
313,313,NP_000508.1,36,5.538461538461538
314,314,NP_000509.1,61,9.384615384615385
315,315,NP_000511.2,42,6.461538461538462
316,316,NP_000514.2,5,0.7692307692307693
317,317,NP_000517.3,39,6.0
318,318,NP_000518.1,639,98.3076923076923
319,319,NP_000519.2,37,5.6923076923076925
320,320,NP_000520.1,15,2.3076923076923075
321,321,NP_000522.3,119,18.307692307692307
322,322,NP_000523.2,42,6.461538461538462
323,323,NP_000524.3,26,4.0
324,324,NP_000525.1,18,2.769230769230769
325,325,NP_000527.2,46,7.076923076923077
326,326,NP_000528.1,7,1.0769230769230769
327,327,NP_000530.1,117,18.0
328,328,NP_000532.2,5,0.7692307692307693
329,329,NP_000533.4,13,2.0
330,330,NP_000534.3,121,18.615384615384617
331,331,NP_000536.6,105,16.153846153846153
332,332,NP_000537.3,271,41.69230769230769
333,333,NP_000538.3,25,3.8461538461538463
334,334,NP_000539.2,376,57.84615384615385
335,335,NP_000541.1,11,1.6923076923076923
336,336,NP_000544.2,18,2.769230769230769
337,337,NP_000545.1,17,2.6153846153846154
338,338,NP_000548.2,11,1.6923076923076923
339,339,NP_000578.2,13,2.0
340,340,NP_000584.3,19,2.923076923076923
341,341,NP_000594.2,13,2.0
342,342,NP_000603.1,7,1.0769230769230769
343,343,NP_000608.1,7,1.0769230769230769
344,344,NP_000633.2,26,4.0
345,345,NP_000651.3,12,1.8461538461538463
346,346,NP_000657.1,5,0.7692307692307693
347,347,NP_000676.1,4,0.6153846153846154
348,348,NP_000678.1,8,1.2307692307692308
349,349,NP_000683.3,6,0.9230769230769231
350,350,NP_000684.2,13,2.0
351,351,NP_000693.1,62,9.538461538461538
352,352,NP_000700.1,46,7.076923076923077
353,353,NP_000708.1,9,1.3846153846153846
354,354,NP_000710.5,55,8.461538461538462
355,355,NP_000711.1,27,4.153846153846154
356,356,NP_000712.2,238,36.61538461538461
357,357,NP_000717.2,2,0.3076923076923077
358,358,NP_000735.1,71,10.923076923076923
359,359,NP_000738.2,10,1.5384615384615385
360,360,NP_000739.1,19,2.923076923076923
361,361,NP_000742.1,11,1.6923076923076923
362,362,NP_000751.1,14,2.1538461538461537
363,363,NP_000772.2,9,1.3846153846153846
364,364,NP_000773.2,18,2.769230769230769
365,365,NP_000775.1,28,4.3076923076923075
366,366,NP_000776.1,22,3.3846153846153846
367,367,NP_000780.1,31,4.769230769230769
368,368,NP_000797.2,55,8.461538461538462
369,369,NP_000799.1,3,0.46153846153846156
370,370,NP_000801.1,8,1.2307692307692308
371,371,NP_000803.2,7,1.0769230769230769
372,372,NP_000806.2,11,1.6923076923076923
373,373,NP_000807.2,36,5.538461538461538
374,374,NP_000812.2,10,1.5384615384615385
375,375,NP_000814.2,12,1.8461538461538463
376,376,NP_000824.1,203,31.23076923076923
377,377,NP_000825.2,209,32.15384615384615
378,378,NP_000827.2,29,4.461538461538462
379,379,NP_000834.2,34,5.230769230769231
380,380,NP_000835.1,9,1.3846153846153846
381,381,NP_000851.2,6,0.9230769230769231
382,382,NP_000866.1,19,2.923076923076923
383,383,NP_000874.2,9,1.3846153846153846
384,384,NP_000879.2,8,1.2307692307692308
385,385,NP_000881.3,7,1.0769230769230769
386,386,NP_000882.1,43,6.615384615384615
387,387,NP_000883.2,13,2.0
388,388,NP_000890.1,5,0.7692307692307693
389,389,NP_000892.2,19,2.923076923076923
390,390,NP_000894.1,5,0.7692307692307693
391,391,NP_000899.1,6,0.9230769230769231
392,392,NP_000909.2,15,2.3076923076923075
393,393,NP_000911.2,41,6.3076923076923075
394,394,NP_000912.3,13,2.0
395,395,NP_000924.3,27,4.153846153846154
396,396,NP_000928.1,17,2.6153846153846154
397,397,NP_000933.1,2,0.3076923076923077
398,398,NP_000935.1,16,2.4615384615384617
399,399,NP_000952.1,3,0.46153846153846156
400,400,NP_000956.2,14,2.1538461538461537
401,401,NP_000960.2,4,0.6153846153846154
402,402,NP_000968.2,2,0.3076923076923077
403,403,NP_000987.2,4,0.6153846153846154
404,404,NP_001001331.1,13,2.0
405,405,NP_001001344.1,18,2.769230769230769
406,406,NP_001001412.3,2,0.3076923076923077
407,407,NP_001001430.1,47,7.230769230769231
408,408,NP_001001438.1,19,2.923076923076923
409,409,NP_001001547.1,3,0.46153846153846156
410,410,NP_001001557.1,16,2.4615384615384617
411,411,NP_001001563.2,8,1.2307692307692308
412,412,NP_001001937.1,6,0.9230769230769231
413,413,NP_001002295.1,14,2.1538461538461537
414,414,NP_001002755.1,7,1.0769230769230769
415,415,NP_001002841.1,3,0.46153846153846156
416,416,NP_001003694.1,17,2.6153846153846154
417,417,NP_001003722.1,6,0.9230769230769231
418,418,NP_001003800.1,99,15.23076923076923
419,419,NP_001003811.1,6,0.9230769230769231
420,420,NP_001003841.1,20,3.076923076923077
421,421,NP_001004051.1,5,0.7692307692307693
422,422,NP_001004127.2,6,0.9230769230769231
423,423,NP_001005271.2,52,8.0
424,424,NP_001005369.1,2,0.3076923076923077
425,425,NP_001005463.1,30,4.615384615384615
426,426,NP_001005731.1,44,6.769230769230769
427,427,NP_001005741.1,73,11.23076923076923
428,428,NP_001006658.1,19,2.923076923076923
429,429,NP_001006659.1,22,3.3846153846153846
430,430,NP_001007027.1,8,1.2307692307692308
431,431,NP_001007227.1,13,2.0
432,432,NP_001007528.1,6,0.9230769230769231
433,433,NP_001008214.1,7,1.0769230769230769
434,434,NP_001008537.1,83,12.76923076923077
435,435,NP_001008701.1,5,0.7692307692307693
436,436,NP_001009999.1,9,1.3846153846153846
437,437,NP_001010867.1,10,1.5384615384615385
438,438,NP_001010874.2,5,0.7692307692307693
439,439,NP_001010892.1,11,1.6923076923076923
440,440,NP_001011551.1,6,0.9230769230769231
441,441,NP_001011658.1,3,0.46153846153846156
442,442,NP_001012426.1,3,0.46153846153846156
443,443,NP_001013860.1,23,3.5384615384615383
444,444,NP_001014437.1,8,1.2307692307692308
445,445,NP_001014839.1,6,0.9230769230769231
446,446,NP_001015880.1,7,1.0769230769230769
447,447,NP_001017420.1,11,1.6923076923076923
448,448,NP_001017535.1,10,1.5384615384615385
449,449,NP_001017995.1,19,2.923076923076923
450,450,NP_001018005.1,31,4.769230769230769
451,451,NP_001018123.1,39,6.0
452,452,NP_001018494.1,7,1.0769230769230769
453,453,NP_001019242.1,20,3.076923076923077
454,454,NP_001019801.3,24,3.6923076923076925
455,455,NP_001020105.1,4,0.6153846153846154
456,456,NP_001020279.1,5,0.7692307692307693
457,457,NP_001020466.1,24,3.6923076923076925
458,458,NP_001020560.1,5,0.7692307692307693
459,459,NP_001020774.1,6,0.9230769230769231
460,460,NP_001025023.1,9,1.3846153846153846
461,461,NP_001025053.1,94,14.461538461538462
462,462,NP_001025054.1,24,3.6923076923076925
463,463,NP_001025178.1,8,1.2307692307692308
464,464,NP_001025482.1,8,1.2307692307692308
465,465,NP_001026859.1,3,0.46153846153846156
466,466,NP_001026895.2,14,2.1538461538461537
467,467,NP_001027565.1,6,0.9230769230769231
468,468,NP_001027567.2,16,2.4615384615384617
469,469,NP_001028.1,4,0.6153846153846154
470,470,NP_001029.1,11,1.6923076923076923
471,471,NP_001029027.1,13,2.0
472,472,NP_001030025.1,63,9.692307692307692
473,473,NP_001032.2,32,4.923076923076923
474,474,NP_001034302.2,13,2.0
475,475,NP_001034437.1,5,0.7692307692307693
476,476,NP_001034639.1,6,0.9230769230769231
477,477,NP_001035.1,7,1.0769230769230769
478,478,NP_001035197.1,62,9.538461538461538
479,479,NP_001035202.1,26,4.0
480,480,NP_001035526.1,12,1.8461538461538463
481,481,NP_001035835.1,15,2.3076923076923075
482,482,NP_001035897.1,11,1.6923076923076923
483,483,NP_001035937.1,4,0.6153846153846154
484,484,NP_001035940.1,11,1.6923076923076923
485,485,NP_001035963.1,36,5.538461538461538
486,486,NP_001036068.1,9,1.3846153846153846
487,487,NP_001036167.1,7,1.0769230769230769
488,488,NP_001036214.1,17,2.6153846153846154
489,489,NP_001037.1,14,2.1538461538461537
490,490,NP_001037850.1,5,0.7692307692307693
491,491,NP_001041629.1,2,0.3076923076923077
492,492,NP_001041675.1,11,1.6923076923076923
493,493,NP_001050.1,5,0.7692307692307693
494,494,NP_001051.1,7,1.0769230769230769
495,495,NP_001056.1,35,5.384615384615385
496,496,NP_001060.1,34,5.230769230769231
497,497,NP_001061.2,8,1.2307692307692308
498,498,NP_001063.2,14,2.1538461538461537
499,499,NP_001070.2,8,1.2307692307692308
500,500,NP_001070712.1,3,0.46153846153846156
501,501,NP_001070834.1,25,3.8461538461538463
502,502,NP_001070884.2,12,1.8461538461538463
503,503,NP_001070984.1,7,1.0769230769230769
504,504,NP_001071.1,61,9.384615384615385
505,505,NP_001072982.1,4,0.6153846153846154
506,506,NP_001073136.1,19,2.923076923076923
507,507,NP_001073270.1,6,0.9230769230769231
508,508,NP_001073279.2,95,14.615384615384615
509,509,NP_001073882.3,16,2.4615384615384617
510,510,NP_001073883.2,43,6.615384615384615
511,511,NP_001073890.2,4,0.6153846153846154
512,512,NP_001073893.1,33,5.076923076923077
513,513,NP_001073911.1,16,2.4615384615384617
514,514,NP_001073918.2,16,2.4615384615384617
515,515,NP_001073936.1,40,6.153846153846154
516,516,NP_001073945.1,6,0.9230769230769231
517,517,NP_001073986.1,80,12.307692307692308
518,518,NP_001073991.2,49,7.538461538461538
519,519,NP_001075.1,20,3.076923076923077
520,520,NP_001075019.1,11,1.6923076923076923
521,521,NP_001076007.1,5,0.7692307692307693
522,522,NP_001076580.1,3,0.46153846153846156
523,523,NP_001076585.1,30,4.615384615384615
524,524,NP_001077083.1,18,2.769230769230769
525,525,NP_001077088.2,21,3.230769230769231
526,526,NP_001077430.1,33,5.076923076923077
527,527,NP_001077431.1,70,10.76923076923077
528,528,NP_001080.2,31,4.769230769230769
529,529,NP_001089.1,9,1.3846153846153846
530,530,NP_001091738.1,21,3.230769230769231
531,531,NP_001091981.1,28,4.3076923076923075
532,532,NP_001092138.1,8,1.2307692307692308
533,533,NP_001092272.1,10,1.5384615384615385
534,534,NP_001092690.1,5,0.7692307692307693
535,535,NP_001092692.1,14,2.1538461538461537
536,536,NP_001092744.1,15,2.3076923076923075
537,537,NP_001093326.2,10,1.5384615384615385
538,538,NP_001094383.2,80,12.307692307692308
539,539,NP_001094385.1,2,0.3076923076923077
540,540,NP_001094832.1,65,10.0
541,541,NP_001094896.1,8,1.2307692307692308
542,542,NP_001095876.1,59,9.076923076923077
543,543,NP_001096.1,14,2.1538461538461537
544,544,NP_001097.2,5,0.7692307692307693
545,545,NP_001098101.1,19,2.923076923076923
546,546,NP_001098548.2,11,1.6923076923076923
547,547,NP_001098717.1,13,2.0
548,548,NP_001103279.2,8,1.2307692307692308
549,549,NP_001104262.1,197,30.307692307692307
550,550,NP_001104505.1,12,1.8461538461538463
551,551,NP_001104595.1,71,10.923076923076923
552,552,NP_001106212.1,13,2.0
553,553,NP_001106279.3,27,4.153846153846154
554,554,NP_001106962.1,5,0.7692307692307693
555,555,NP_001107655.1,11,1.6923076923076923
556,556,NP_001108220.1,7,1.0769230769230769
557,557,NP_001116229.1,5,0.7692307692307693
558,558,NP_001116293.1,3,0.46153846153846156
559,559,NP_001119578.1,6,0.9230769230769231
560,560,NP_001119580.2,124,19.076923076923077
561,561,NP_001120.3,19,2.923076923076923
562,562,NP_001120680.1,26,4.0
563,563,NP_001120693.1,186,28.615384615384617
564,564,NP_001120864.1,8,1.2307692307692308
565,565,NP_001120972.1,25,3.8461538461538463
566,566,NP_001121370.1,19,2.923076923076923
567,567,NP_001121631.1,8,1.2307692307692308
568,568,NP_001121699.1,39,6.0
569,569,NP_001121775.1,4,0.6153846153846154
570,570,NP_001121897.1,38,5.846153846153846
571,571,NP_001121901.1,6,0.9230769230769231
572,572,NP_001121903.1,3,0.46153846153846156
573,573,NP_001122092.1,16,2.4615384615384617
574,574,NP_001122317.1,54,8.307692307692308
575,575,NP_001123292.1,11,1.6923076923076923
576,576,NP_001123476.1,26,4.0
577,577,NP_001123482.1,7,1.0769230769230769
578,578,NP_001123561.1,11,1.6923076923076923
579,579,NP_001123575.1,9,1.3846153846153846
580,580,NP_001123577.1,14,2.1538461538461537
581,581,NP_001123616.1,11,1.6923076923076923
582,582,NP_001123617.1,6,0.9230769230769231
583,583,NP_001123990.1,20,3.076923076923077
584,584,NP_001124162.1,8,1.2307692307692308
585,585,NP_001124295.1,42,6.461538461538462
586,586,NP_001124497.1,4,0.6153846153846154
587,587,NP_001125.1,3,0.46153846153846156
588,588,NP_001127835.2,84,12.923076923076923
589,589,NP_001128243.1,9,1.3846153846153846
590,590,NP_001128493.1,13,2.0
591,591,NP_001128715.1,73,11.23076923076923
592,592,NP_001129123.1,9,1.3846153846153846
593,593,NP_001129277.1,12,1.8461538461538463
594,594,NP_001129392.2,3,0.46153846153846156
595,595,NP_001129507.1,4,0.6153846153846154
596,596,NP_001129524.1,14,2.1538461538461537
597,597,NP_001129649.1,17,2.6153846153846154
598,598,NP_001129668.1,5,0.7692307692307693
599,599,NP_001130.1,24,3.6923076923076925
600,600,NP_001136.1,5,0.7692307692307693
601,601,NP_001136029.1,7,1.0769230769230769
602,602,NP_001136082.1,3,0.46153846153846156
603,603,NP_001136256.1,11,1.6923076923076923
604,604,NP_001136438.1,20,3.076923076923077
605,605,NP_001137282.1,3,0.46153846153846156
606,606,NP_001137326.1,2,0.3076923076923077
607,607,NP_001137451.1,3,0.46153846153846156
608,608,NP_001137453.1,7,1.0769230769230769
609,609,NP_001137458.1,6,0.9230769230769231
610,610,NP_001138341.1,6,0.9230769230769231
611,611,NP_001138545.1,2,0.3076923076923077
612,612,NP_001138584.1,5,0.7692307692307693
613,613,NP_001138780.1,4,0.6153846153846154
614,614,NP_001138830.1,15,2.3076923076923075
615,615,NP_001138940.4,37,5.6923076923076925
616,616,NP_001139189.2,21,3.230769230769231
617,617,NP_001139267.1,7,1.0769230769230769
